chr,start,end,transcript_id,gene_id,gene_name,cpg_density,loeuf,oe_lof_point_estimate,promoter_phastcons,exonic_phastcons
chr20,49573088,49577087,ENST00000371588,ENSG00000000419,DPM1,0.6914412149250729,0.858,0.49162,0.29645,0.8779054916985951
chr1,169861077,169865076,ENST00000367772,ENSG00000000457,SCYL3,0.5620191415816228,0.425,0.23547,0.06992500000000001,0.6738896366083446
chr1,169762550,169766549,ENST00000286031,ENSG00000000460,C1orf112,0.4314193423312481,0.69,0.47943,0.056874999999999995,0.7358033514028259
chr6,143830828,143834827,ENST00000002165,ENSG00000001036,FUCA2,0.5192442112036924,0.919,0.58766,0.0599,0.7785422540719769
chr6,53407928,53411927,ENST00000229416,ENSG00000001084,GCLC,0.6759712115789892,0.385,0.21348,0.10872500000000004,0.886409168793975
chr6,41038684,41042683,ENST00000341376,ENSG00000001167,NFYA,0.710952971808693,0.538,0.27242,0.24142500000000006,0.9481428080044078
chr1,24740284,24744283,ENST00000374399,ENSG00000001461,NIPAL3,0.540462776112323,0.872,0.5139,0.10515000000000001,0.85995085995086
chr7,117118017,117122016,ENST00000003084,ENSG00000001626,CFTR,0.44748140533349456,1.308,1.0901,0.19684999999999997,0.8662732745547952
chr7,91873548,91877547,ENST00000265742,ENSG00000001629,ANKIB1,0.5591021267126696,0.207,0.098369,0.17139999999999989,0.964952427075073
chr7,91761845,91765844,ENST00000003100,ENSG00000001630,CYP51A1,0.6768778525566643,1.041,0.66611,0.09540000000000003,0.9213345046298445
chr7,91873415,91877414,ENST00000394507,ENSG00000001631,KRIT1,0.5699229925480307,0.504,0.32245,0.1754999999999999,0.971449342756018
chr4,17576815,17580814,ENST00000226299,ENSG00000002549,LAP3,0.6869935947950132,0.91,0.59091,0.07792500000000001,0.728258452159255
chr4,11429390,11433389,ENST00000002596,ENSG00000002587,HS3ST1,0.5794953265870091,1.076,0.51176,0.05807499999999998,0.8130890052356021
chr7,120967057,120971056,ENST00000222462,ENSG00000002745,WNT16,0.5555340354351352,1.168,0.70585,0.19362500000000005,0.8124995819386224
chr7,43150198,43154197,ENST00000395891,ENSG00000002746,HECW1,0.584665597072545,0.241,0.15182,0.24654999999999994,0.9139868241777979
chr17,37024112,37028111,ENST00000318008,ENSG00000002834,LASP1,0.5839221719484393,0.283,0.059634,0.23057500000000017,0.9109185529597897
chr17,46182920,46186919,ENST00000393405,ENSG00000002919,SNX11,0.5189037855841288,1.086,0.67053,0.11462500000000007,0.8504508170337002
chr12,9100552,9104551,ENST00000000412,ENSG00000003056,M6PR,0.5197760059627134,0.744,0.35365,0.056974999999999984,0.869358319164234
chr2,202643913,202647912,ENST00000264276,ENSG00000003393,ALS2,0.5905139833711263,0.487,0.36602,0.0869,0.9277978190542814
chr2,201978827,201982826,ENST00000309955,ENSG00000003402,CFLAR,0.6138087418875596,0.168,0.035461,0.09400000000000004,0.5694987090807049
chr2,37456809,37460808,ENST00000002125,ENSG00000003509,NDUFAF7,0.5810493360752502,1.553,1.1276,0.07525,0.6733846901260349
chr3,50124341,50128340,ENST00000347869,ENSG00000003756,RBM5,0.5549321133048057,0.132,0.050921,0.1093250000000001,0.9581990469666645
chr8,17268837,17272836,ENST00000180173,ENSG00000003987,MTMR7,0.5534692458638466,0.968,0.70221,0.11295000000000001,0.914681989479281
chr7,127226399,127230398,ENST00000000233,ENSG00000004059,ARF5,0.5414502589994551,0.339,0,0.18117500000000006,0.9246423186630826
chr17,26682474,26686473,ENST00000540200,ENSG00000004142,POLDIP2,0.4495310297905428,0.467,0.22228,0.17175000000000012,0.8763180654610341
