transcript_id,gene_id,gene_name,cpg_density,loeuf,oe_lof_point_estimate,promoter_phastcons,exonic_phastcons,region_grch38,region_grch38_length,region_grch38_clipped
ENST00000423902,ENSG00000171316,CHD7,1.0931789379933092,0.066,0.028673,0.3846749999999999,0.9118905269120876,chr8:60676779-60680777,3999,chr8:60678279-60679277
ENST00000262238,ENSG00000100811,YY1,1.0474327536240984,0.194,0.0,0.3915499999999998,0.9381653614354238,chr14:100236986-100240984,3999,chr14:100238486-100239484
ENST00000361752,ENSG00000112531,QKI,1.025761279768865,0.435,0.16826,0.184,0.9856739849801646,chr6:163412644-163416642,3999,chr6:163414144-163415142
ENST00000376663,ENSG00000168283,BMI1,1.0060774286365028,0.359,0.11401,0.4946999999999993,0.9785821462671052,chr10:22319212-22323210,3999,chr10:22320712-22321710
ENST00000375856,ENSG00000185950,IRS2,1.0053530162490452,0.297,0.11482,0.3277999999999999,0.9168493082464002,chr13:109784570-109788568,3999,chr13:109786070-109787068
ENST00000245323,ENSG00000125266,EFNB2,1.003272361735713,0.217,0.0,0.1434,0.926314995894671,chr13:106533116-106537114,3999,chr13:106534616-106535614
ENST00000330949,ENSG00000182968,SOX1,0.9917136941276632,0.958,0.0,0.45345,0.6337175792507207,chr13:112065600-112069598,3999,chr13:112067100-112068098
ENST00000595354,ENSG00000268241,AC018470.1,0.9839607745366908,1.013,0.48204,0.6952249999999999,0.6159722222222223,chr2:174335425-174339423,3999,chr2:174336925-174337923
ENST00000262189,ENSG00000055609,KMT2C,0.9804156005643369,0.115,0.076906,0.1907250000000001,0.8557665329783779,chr7:152434007-152438005,3999,chr7:152435507-152436505
ENST00000397560,ENSG00000006459,KDM7A,0.9674981946539452,0.232,0.11743,0.2370750000000001,0.9037228778338292,chr7:140175037-140179035,3999,chr7:140176537-140177535
ENST00000283179,ENSG00000153187,HNRNPU,0.9657984431329096,0.118,0.024905,0.3434999999999995,0.968900760539405,chr1:244862473-244866471,3999,chr1:244863973-244864971
ENST00000230859,ENSG00000112941,PAPD7,0.9656431685135116,0.182,0.038402,0.2088749999999999,0.847446200021648,chr5:6712606-6716604,3999,chr5:6714106-6715104
ENST00000354667,ENSG00000122566,HNRNPA2B1,0.9580761316872428,0.217,0.0457,0.2520000000000002,0.9749884897024492,chr7:26198748-26202746,3999,chr7:26200248-26201246
ENST00000351817,ENSG00000125816,NKX2-4,0.9544208756535156,1.586,0.72539,,0.8146478873239436,chr20:21396030-21400028,3999,chr20:21397530-21398528
ENST00000346085,ENSG00000049618,ARID1B,0.9543876135170652,0.104,0.045333,0.6048000000000007,0.8765434488300197,chr6:156775930-156779928,3999,chr6:156777430-156778428
ENST00000368648,ENSG00000108001,EBF3,0.9523809523809524,0.149,0.031322,0.5243499999999999,0.9629227053140096,chr10:129961843-129965841,3999,chr10:129963343-129964341
ENST00000275034,ENSG00000146247,PHIP,0.9436980166346768,0.102,0.048594,0.5909500000000002,0.9171409427093358,chr6:79076238-79080236,3999,chr6:79077738-79078736
ENST00000252744,ENSG00000130449,ZSWIM6,0.9407032395201776,0.068,0.0,0.4273499999999995,0.9314684737352724,chr5:61330274-61334272,3999,chr5:61331774-61332772
ENST00000366609,ENSG00000168264,IRF2BP2,0.937473288904452,0.448,0.094388,0.4249000000000001,0.8202380952380953,chr1:234607527-234611525,3999,chr1:234609027-234610025
ENST00000522353,ENSG00000255408,PCDHA3,0.9373938766288622,1.309,0.93721,0.1841500000000001,0.3741815890113562,chr5:140799199-140803197,3999,chr5:140800699-140801697
ENST00000259335,ENSG00000136813,KIAA0368,0.936685147211463,0.189,0.12076,0.2196499999999999,0.9245126224199371,chr9:111482747-111486745,3999,chr9:111484247-111485245
ENST00000337620,ENSG00000122565,CBX3,0.9329779131759328,0.32,0.0,0.3039250000000002,0.7891201670497143,chr7:26199163-26203161,3999,chr7:26200663-26201661
ENST00000393256,ENSG00000153094,BCL2L11,0.9311827341550344,0.424,0.0,0.1413499999999999,0.8865426522040893,chr2:111118930-111122928,3999,chr2:111120430-111121428
ENST00000307602,ENSG00000168172,HOOK3,0.9310211946050096,0.155,0.059947,0.1034,0.9717908571552336,chr8:42894933-42898931,3999,chr8:42896433-42897431
ENST00000341369,ENSG00000187514,PTMA,0.93058877389046,1.216,0.47288,0.2553000000000002,0.3968468733569479,chr2:231706517-231710515,3999,chr2:231708017-231709015
ENST00000322002,ENSG00000176887,SOX11,0.9300463085557802,0.444,0.093662,0.5487000000000003,0.9864583333333332,chr2:5690668-5694666,3999,chr2:5692168-5693166
ENST00000534961,ENSG00000120925,RNF170,0.929281665272744,0.519,0.20086,0.106125,0.8981224355702878,chr8:42894725-42898723,3999,chr8:42896225-42897223
ENST00000380773,ENSG00000124535,WRNIP1,0.9287268481664278,0.564,0.28552,0.1954750000000001,0.8066369725085965,chr6:2763415-2767413,3999,chr6:2764915-2765913
ENST00000377208,ENSG00000152192,POU4F1,0.9281652018759314,0.435,0.0,0.63425,0.7883289049053357,chr13:78601540-78605538,3999,chr13:78603040-78604038
ENST00000258428,ENSG00000135945,REV1,0.9275873470737352,0.232,0.12864,0.07805,0.8214910220769088,chr2:99488037-99492035,3999,chr2:99489537-99490535
ENST00000408999,ENSG00000196862,RGPD4,0.925592257450244,1.879,1.5706,0.0715249999999999,0.9332695872345494,chr2:107824938-107828936,3999,chr2:107826438-107827436
ENST00000310227,ENSG00000173404,INSM1,0.9250756266205704,0.625,0.1318,0.5087000000000003,0.6879973907371167,chr20:20366122-20370120,3999,chr20:20367622-20368620
ENST00000295770,ENSG00000163527,STT3B,0.9249527012823208,0.255,0.12117,0.2755499999999997,0.956432643844991,chr3:31530791-31534789,3999,chr3:31532291-31533289
ENST00000458258,ENSG00000119314,PTBP3,0.9235324009633016,0.378,0.17962,0.188325,0.8856594391378476,chr9:112330845-112334843,3999,chr9:112332345-112333343
ENST00000376552,ENSG00000106829,TLE4,0.922572463354165,0.147,0.046697,0.4445500000000001,0.9344556312843918,chr9:79569774-79573772,3999,chr9:79571274-79572272
ENST00000297689,ENSG00000165030,NFIL3,0.9207270455348848,0.423,0.13445,0.2723000000000002,0.7638644918444162,chr9:91421864-91425862,3999,chr9:91423364-91424362
ENST00000506030,ENSG00000112851,ERBB2IP,0.9171306911234852,0.268,0.16211,0.3144749999999998,0.9219739145782496,chr5:65924774-65928772,3999,chr5:65926274-65927272
ENST00000261275,ENSG00000104059,FAM189A1,0.9165932114615668,0.731,0.34754,0.174,0.7624640351858888,chr15:29568725-29572723,3999,chr15:29570225-29571223
ENST00000374694,ENSG00000177283,FZD8,0.915684936931689,0.414,0.16032,0.4484499999999998,0.9786666666666668,chr10:35639436-35643434,3999,chr10:35640936-35641934
ENST00000393651,ENSG00000135250,SRPK2,0.9145291788603892,0.267,0.12702,0.1822250000000001,0.9466478892005498,chr7:105386896-105390894,3999,chr7:105388396-105389394
ENST00000588460,ENSG00000092931,MFSD11,0.9145230384168436,0.868,0.53581,0.5628749999999997,0.8217138185114119,chr17:76734312-76738310,3999,chr17:76735812-76736810
ENST00000262376,ENSG00000118900,UBN1,0.9135942829299984,0.207,0.098278,0.2243000000000001,0.9119489730815548,chr16:4845632-4849630,3999,chr16:4847132-4848130
ENST00000374704,ENSG00000108100,CCNY,0.9129962287805028,0.411,0.15909,0.0958999999999999,0.9665815919192052,chr10:35334875-35338873,3999,chr10:35336375-35337373
ENST00000409785,ENSG00000176407,KCMF1,0.9126092173530952,0.312,0.065762,0.2795249999999998,0.9455610393560014,chr2:84969094-84973092,3999,chr2:84970594-84971592
ENST00000314890,ENSG00000177721,ANXA2R,0.912228421996868,,,,0.5955182072829133,chr5:43041172-43045170,3999,chr5:43042672-43043670
ENST00000360264,ENSG00000257923,CUX1,0.910923932813314,0.16,0.080909,0.2766250000000003,0.8504216501988477,chr7:101814012-101818010,3999,chr7:101815512-101816510
ENST00000309993,ENSG00000174579,MSL2,0.9101729328572428,0.5,0.19339,0.2760499999999999,0.9539529073341207,chr3:136193848-136197846,3999,chr3:136195348-136196346
ENST00000373489,ENSG00000167081,PBX3,0.9099771702059132,0.474,0.22538,0.4566000000000005,0.9888116404958716,chr9:125745439-125749437,3999,chr9:125746939-125747937
ENST00000338785,ENSG00000157540,DYRK1A,0.9086341625065476,0.256,0.09897,0.4352999999999999,0.9063018898616696,chr21:37365578-37369576,3999,chr21:37367078-37368076
